industry,count
Электроэнергетика,63
Unknown,30
Сталь,12
Интегрированная нефтяная промышленность,12
Региональные банки,11
Переработка и продажа нефти,8
Химическая промышленность: специализированные химикаты,6
Ведущие телекоммуникационные компании,6
Прочие металлы и минералы,6
"Грузовые автомобили, строительная и сельскохозяйственная техника",6
Девелопмент недвижимости,5
Драгоценные металлы,5
"Инвестиционные банки, брокеры",4
Авиакосмическая и оборонная промышленность,4
Автомобильная промышленность,4
Специализированные телекоммуникации,3
Интернет-сервисы и ПО,3
Продуктовая розница,3
Беспроводные телекоммуникации,3
Промышленное оборудование,3
Уголь,3
Сельскохозяйственные продукты и помол зерна,3
Морские перевозки,2
Альтернативные источники энергии,2
Электронные комплектующие,2
Услуги по уходу за больными,2
Грузоперевозки,2
Напитки: алкогольные,2
Авиакомпании,2
Алюминий,2
Товары для дома,2
Строительство жилья,2
Химическая промышленность: сельскохозяйственные химикаты,2
Газоснабжение,2
Финансовые конгломераты,2
Прочие виды транспорта,2
Пищевая промышленность: деликатесы и кондитерские изделия,2
Основные банки,2
Производство оригинальных автомобильных запчастей,2
Прочие виды производства,2
Биотехнологии,1
Управление инвестициями,1
Нефтегазовое производство,1
Фармацевтические товары: прочие лекарственные средства,1
Аптечные сети,1
Инвестиционные компании и паевые фонды,1
Рестораны,1
Смешанное страхование,1
Услуги страховых брокеров,1
Строительные материалы,1
Фармацевтические товары,1
Инженерные и строительные услуги,1
Контейнеры и тара,1
Оптовая торговля,1
Розничные интернет-магазины,1
Нефте- и газопроводы,1
"Финансирование, лизинг, аренда",1
Универмаги,1
Нефтепромысловое оборудование и услуги,1
Услуги обработки информации,1
Прочие коммерческие услуги,1
